"MuiTypography-root href","MuiBox-root","MuiBox-root src","MuiTypography-root href 2","MuiTypography-root","MuiTypography-root href 3","MuiTypography-root 2","MuiTypography-root 3","MuiTypography-root 4","MuiTypography-root 5","MuiTypography-root 6","MuiTypography-root 8","mui-ytumd6","MuiTypography-root 9","MuiTypography-root 10","mui-1g6lqec","MuiButtonBase-root","MuiButtonBase-root href","MuiTypography-root 12","MuiTypography-root 13","MuiTypography-root 14","MuiTypography-root 15"
"https://www.costco.com/sealy-posturepedic-plus-prosser-hills-12-firm-or-135-plush-mattress.product.4000369537.html","Sealy Posturepedic Plus Prosser Hills 12"" Firm or 13.5"" Plush Mattress","https://bfasset.costco-static.com/U447IH35/as/m98kqrwbqcjp777ctts6wn5/4000369537-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=costco%20direct","Costco Direct","https://www.costco.com/s?keyword=foundation%20available","Foundation Available","Online Only","Instant Savings","$499.99 - $799.99","After $200 - $250 OFF","()","1,460","Delivery","Available","Compare","Select Options","https://www.costco.com/sealy-posturepedic-plus-prosser-hills-12-firm-or-135-plush-mattress.product.4000369537.html","","","",""
"https://www.costco.com/thomasville-lowell-6-piece-modular-sectional.product.4000244918.html","Thomasville Lowell 6-piece Modular Sectional","https://bfasset.costco-static.com/U447IH35/as/c6tcnt9vt8636tf6p6c4ctm/4000244918-847_lightgray_1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=costco%20direct","Costco Direct","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","Color:","$1,299.99","After $700 OFF","()","2,812","Delivery","Available","Compare","Select Options","https://www.costco.com/thomasville-lowell-6-piece-modular-sectional.product.4000244918.html","Out of Stock","at Cal Expo (Sacramento)","",""
"https://www.costco.com/bounce-select-a-size-fabric-softener-dryer-sheets-outdoor-fresh-400-count.product.4000320960.html","Bounce Select a Size Fabric Softener Dryer Sheets, Outdoor Fresh, 400-count","https://bfasset.costco-static.com/U447IH35/as/msw9sxkh2tghcq4hksrcmx7w/4000320960-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","Item may be available in your local warehouse, prices may vary.","$10.99","After $2.50 OFF","()","109","Delivery","Available","","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
"https://www.costco.com/tide-ultra-concentrated-liquid-laundry-detergent-152-loads-170-fl-oz.product.4000100321.html","Tide Ultra Concentrated Liquid Laundry Detergent, 152 Loads, 170 fl oz","https://bfasset.costco-static.com/U447IH35/as/xrkck5hxpp37q7gv62p5bbp/4000100321-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","Item may be available in your local warehouse, prices may vary.","$24.99","After $5 OFF","()","457","Delivery","Available","","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
"https://www.costco.com/kirkland-signature-by-stearns--foster-145-pillow-top-lakeridge-mattress.product.4000277076.html","Kirkland Signature by Stearns & Foster 14.5"" Pillow Top Lakeridge Mattress","https://bfasset.costco-static.com/U447IH35/as/s8b6hg49ps6vmkw879kfvf5/4000277076-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=foundation%20available","Costco Direct","https://www.costco.com/s?keyword=costco%20direct","Foundation Available","Online Only","","$899.99 - $999.99","After $100 - $200 OFF","()","11,707","Delivery","Available","Compare","Select Options","https://www.costco.com/kirkland-signature-by-stearns--foster-145-pillow-top-lakeridge-mattress.product.4000277076.html","","","",""
"https://www.costco.com/swiffer-duster-heavy-duty-dusting-kit-1-handle--17-refills.product.4000092361.html","Swiffer Duster Heavy Duty Dusting Kit, 1 Handle + 17 Refills","https://bfasset.costco-static.com/U447IH35/as/swgk8w23hpr6khpxhmjkcz7k/4000092361-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","Item may be available in your local warehouse, prices may vary.","$17.49","After $4 OFF","()","434","Delivery","Available","","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
"https://www.costco.com/lenovo-legion-5i-16-gaming-laptop---intel-core-ultra-9-275hx---geforce-rtx-5060---wqxga-2560x1600---windows-11-home---32gb-ram---1tb-ssd.product.4000380973.html","Lenovo Legion 5i 16"" Gaming Laptop - Intel Core Ultra 9 275HX - GeForce RTX 5060 - WQXGA (2560x1600) - Windows 11 Home - 32GB RAM - 1TB SSD","https://bfasset.costco-static.com/U447IH35/as/wx6cbzrrh4zxnmpp6kmrtw/4000380973-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","","$1,299.99","After $200 OFF","()","39","Delivery","Available","Compare","Add to Cart","","Available","","Ship to Warehouse",""
"https://www.costco.com/crest-3d-whitestrips-20-professional-treatments-with-10-bonus-brightening-treatments.product.4000283624.html","Crest 3D Whitestrips 20 Professional Treatments with 10 Bonus Brightening Treatments","https://bfasset.costco-static.com/U447IH35/as/wk9mq69gkg9zf9fkrmjpq8/1837002-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","","$32.99","After $15 OFF","()","363","Delivery","Available","Compare","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
"https://www.costco.com/swiffer-sweeper-heavy-duty-dry-sweeping-cloth-refills-50-count.product.100689013.html","Swiffer Sweeper Heavy Duty Dry Sweeping Cloth Refills, 50-count","https://bfasset.costco-static.com/U447IH35/as/3kg34pns4r9tn4pbcwg4n6n9/1456660-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","Item may be available in your local warehouse, prices may vary.","$17.99","After $4 OFF","()","580","Delivery","Available","","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
"https://www.costco.com/crest-pro-health-advanced-mouthwash-338-fl-oz-3-pack.product.4000151041.html","Crest Pro-Health Advanced Mouthwash, 33.8 fl oz, 3-pack","https://bfasset.costco-static.com/U447IH35/as/bhm6btckmrrmq65xn4ckcwg7/1731104-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","https://www.costco.com/s?keyword=instant%20savings","Instant Savings","","","","Item may be available in your local warehouse, prices may vary.","$9.99","After $3 OFF","()","511","Delivery","Available","","Add to Cart","","In Stock","at Cal Expo (Sacramento)","Buy in Warehouse","Warehouse pricing may vary"
