"product_name","product_link","product_description","product_category","text-primary href","category","text-primary href 2","text-primary 3","text-primary href 3","comment_count","upvotes_count"
"happycapy","https://www.producthunt.com/products/happycapy","The agent-native computer, for the rest of us","Productivity","https://www.producthunt.com/topics/productivity","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","Computers","https://www.producthunt.com/topics/computers","590","1,374"
"Rork Max","https://www.producthunt.com/products/rork-app-for-ios","Best AI for iOS apps. Website that replaces Xcode","Augmented Reality","https://www.producthunt.com/topics/augmented-reality","Games","https://www.producthunt.com/topics/games","Vibe coding","https://www.producthunt.com/topics/vibe-coding","666","1,468"
"SuperX","https://www.producthunt.com/products/superx","All-in-one growth OS for serious 𝕏 creators","Social Media","https://www.producthunt.com/topics/social-media","SaaS","https://www.producthunt.com/topics/saas","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","138","913"
"KiloClaw","https://www.producthunt.com/products/kiloclaw","Hosted OpenClaw. No Mac mini required.","Open Source","https://www.producthunt.com/topics/open-source","Developer Tools","https://www.producthunt.com/topics/developer-tools","","","111","879"
"Lovon AI Therapy","https://www.producthunt.com/products/lovon","Talk it out and feel better","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","Health","https://www.producthunt.com/topics/health","","","269","815"
"Claude Opus 4.6","https://www.producthunt.com/products/claude","Claude’s most advanced model for agentic tasks","Productivity","https://www.producthunt.com/topics/productivity","Developer Tools","https://www.producthunt.com/topics/developer-tools","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","35","763"
"Supaboard","https://www.producthunt.com/products/supaboard-ai","Ask in plain English. Get accurate answers from your data","Analytics","https://www.producthunt.com/topics/analytics","Data & Analytics","https://www.producthunt.com/topics/data-analytics","Data Visualization","https://www.producthunt.com/topics/data-visualization","128","720"
"Sonnet 4.6","https://www.producthunt.com/products/claude","The most capable Sonnet model yet","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","","","","","20","735"
"Base44 Backend Platform","https://www.producthunt.com/products/base44","The Backend for the age of AI","Developer Tools","https://www.producthunt.com/topics/developer-tools","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","GitHub","https://www.producthunt.com/topics/github","54","676"
"Inspector","https://www.producthunt.com/products/inspector-3","Figma for Claude Code","Design Tools","https://www.producthunt.com/topics/design-tools","Productivity","https://www.producthunt.com/topics/productivity","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","68","613"
"moltbook","https://www.producthunt.com/products/moltbook","A Social Network for AI Agents","Social Media","https://www.producthunt.com/topics/social-media","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","","","37","612"
"Moda","https://www.producthunt.com/products/moda-2","Finally, AI designs you can edit","Productivity","https://www.producthunt.com/topics/productivity","Design","https://www.producthunt.com/topics/design","Graphic Design","https://www.producthunt.com/topics/graphic-design","88","594"
"Claude in PowerPoint","https://www.producthunt.com/products/claude","Use Claude to build, edit & refine PowerPoint presentations.","Marketing","https://www.producthunt.com/topics/marketing","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","Design resources","https://www.producthunt.com/topics/design-resources","36","607"
"Stitch by Google","https://www.producthunt.com/products/stitch-by-google","Turn napkin sketches into production-ready UI in seconds.","Design Tools","https://www.producthunt.com/topics/design-tools","Developer Tools","https://www.producthunt.com/topics/developer-tools","Artificial Intelligence","https://www.producthunt.com/topics/artificial-intelligence","23","664"
