"dealership_name","type","rating","rating_count","time_open","dealer_info","top_comments","uDyWh 2"
"Prestige Wholesale","· Used car dealer","4.8","(232)","1537 El Camino Ave · (916) 800-7476","· Closes 7 PM","""... was the best, easiest, and fastest experience Ive had  a .""","buying"
"Hertz Car Sales Sacramento","·  · Used car dealer","4.3","(465)","$$","2200 Fulton Ave · (916) 473-1511","""He didn’t pressure me and made the whole  process stress-free.""","car-buying"
"M&S Auto","· Used car dealer","4.2","(879)","· Closes 7 PM","1908 El Camino Ave · (916) 921-9902","""Great experience, fair prices, and good selection of .""","cars"
"CarMax","·  · Used car dealer","4.1","(2.4K)","$$","8185 E Stockton Blvd · (916) 509-4428","""We sold our  and he went above and beyond to help us get a fair price.""","car"
"Lions Auto Sales","· Used car dealer","4.7","(699)","· Closes 7 PM","2329 Fulton Ave · (916) 550-0670","""Loved their customer service and they have great  for great prices.""","cars"
"CarSight Inc","· Used car dealer","4.9","(685)","· Closes 8 PM","3930 Power Inn Rd · (916) 249-8464",""" a  here was a seamless and stress free visit.""","Buying"
"West Coast Auto Sales Center","· Used car dealer","4.6","(262)","· Closes 7 PM","1733 Fulton Ave · (916) 925-5656","""Charlie sold me my , and the whole process was smooth and stress free.""","car"
"Car Deal Auto Sales","· Used car dealer","4.8","(143)","· Closes 6 PM","1236 Arden Wy Suite 17 · (916) 224-7615","""... recommend this place for a stress free process and a quality .""","car"
"Discover Auto Sales","· Used car dealer","5.0","(310)","· Closes 6:30 PM","3220 Fulton Ave · (916) 999-9099","""They have great  with low mileage at unbeatable prices.""","cars"
"Thrifty Car Sales of Sacramento","· Used car dealer","4.1","(534)","· Closes 8 PM","5710 Florin Rd A · (916) 395-7655","""Was in and out pretty fast and found a good vehicle for a great price.""",""
"Top Tier Auto Sales","· Car dealer","4.6","(151)","· Closes 7:30 PM","5521 Raley Blvd · (916) 793-5209","""Wonderful experience, good selection of  and great service!""","vehicles"
"7 star auto sales llc","· Used car dealer","4.4","(179)","· Closes 6 PM","5000 Madison Ave A · (916) 545-2255","""The  are fairly priced and carefully selected for their lot.""","cars"
"TRD Auto Sales & Finance","· Used car dealer","4.9","(423)","· Closes 7 PM","2529 El Camino Ave #102 · (916) 410-0820","""I was able to find a  for a great price with low miles.""","car"
"Kareem Auto Sales","· Used car dealer","4.4","(535)","· Closes 7 PM","2330 Fulton Ave · (916) 473-1656","""The whole  experience was quick, easy and painless.""","car buying"
"Auto World of Sacramento - Used Car Dealership","· Used car dealer","3.6","(146)","· Closes 6 PM","5670 Stockton Blvd · (916) 701-5925","""He helped me pick out a fantastic  at an awesome price!""","car"
"Save Auto Sales","· Used car dealer","3.9","(85)","· Closes 6:30 PM","3228 Fulton Ave · (916) 665-4941","""I won't be  my  anywhere else after coming to Save Auto Sales.""","buying"
"Integrity Auto Sales","· Used car dealer","4.2","(1.2K)","· Closes 8 PM","3655 Florin Rd · (916) 307-6261","""Got the dream  I wanted and the process was seamless, effortless.""","car"
"916 Auto Mart","· Used car dealer","4.3","(387)","· Closes 6 PM","5877 Power Inn Rd · (916) 381-6611","""He got me into a  with a good deal and a great warranty.""","car"
"Great Cars","· Car dealer","4.0","(84)","· Closes 6:30 PM","2194 Fulton Ave · (916) 483-3100","""The staff at great  are not pushy ,friendly and honest .""","cars"
"Capital City Used Auto Sales Inc.","· Used car dealer","4.7","(326)","· Closes 6 PM","4801 Stockton Blvd · (916) 389-0020","""Great , Great prices, Great service""","cars"
"DriveTime Used Cars","· Used car dealer","4.9","(1.9K)","2400 Auburn Boulevard · (916) 559-6770","· Closes 7 PM","",""
"Dream Motors","· Used car dealer","3.9","(83)","· Closes 6 PM","5801 Auburn Blvd · (916) 256-8724","""The  I purchased was in excellent condition and fairly priced.""","car"
"Ganas Auto - Sacramento","· Used car dealer","4.8","(436)","· Closes 8 PM","2820 Fulton Ave · (855) 756-8892","""This is my first time  a  and she made the process so easy for me!""","buying"
"Approved Autos","· Used car dealer","4.5","(181)","· Closes 6 PM","5921 Stockton Blvd STE A · (916) 541-6368","""A good quality , fast and easy service, for a top-notch price.""","car"
"General Auto Sales Corporation","· Used car dealer","4.3","(176)","· 5 PM","845 Arden Wy · (916) 514-9465","""Excellent prices and reliable .. Highly recommended""","cars"
"Golden Star Auto Sales","· Car dealer","4.4","(209)","· Closes 6:30 PM","3010 Fulton Ave · (916) 979-1256","""Great deals, nice , amazing service!""","cars"
"DriveTime Used Cars","· Used car dealer","4.9","(2K)","· Closes 7 PM","2400 Auburn Blvd · (916) 559-6770","""This  was effortless  and stress free.""","car buying"
"Reliable Auto Source","· Used car dealer","4.2","(328)","· Closes 7:30 PM","3128 Auburn Blvd · (916) 835-0650","""The pricing on the  are fair and they are easy to do business with.""","vehicles"
