"styles_OfferCardImageWrapper__5tv5h src","styles_OfferCardRibbonContent__wJbqA href","h-text-bold","styles_OfferCardValue__1Ynov","styles_ndsHeading__phw6r","styles_OfferCardSubTitle__rPZDQ"
"https://target.scene7.com/is/image/Target/GUEST_373157ee-d8d0-4fed-b33d-3e2496bc9ca5?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 25% off","select skincare products with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_39fa3c64-d1a5-42a0-8a84-cc7f833b7751?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 25% off","select hair care with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_ac3b72f0-a68b-47de-998a-b9567bc858bd?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 5 for $12 select energy drinks","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_41e31ba7-ae0c-4c7a-9d5b-8eb50ea05c9d?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $8 select General Mills cereal","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_a7a89bc5-1e54-485c-8d43-45d6a32dc3de?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","$10 Target GiftCard","when you buy 3 select household essentials with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_32937e05-7bef-46c7-8799-650f186e5c7f?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 25% off","select skincare products with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_836fbb47-70e9-4407-b027-421607fdcc78?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $6 select Frito-Lay snacks","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_491c3fb0-ecd8-4b19-abce-6f285cd9e17a?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","Q-Tips cotton balls, pads & swabs items with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_fe812084-6f0d-45e8-902e-ad6885a91c32?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $8 select chips & dips","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_c3fa6297-d374-4212-8a38-dfa98c56c720?wid=324&hei=324&qlt=45&fmt=jpeg","","","$9.99 sale","select chips","Expires March 14"
