"Link_link__1AZfr href","ProductCard_card__cover__19-g3 src","Link_link__1AZfr","Link_link__1AZfr href 2","Link_link__1AZfr 2","ProductPrice_productPrice__price__3-50j","ProductPrice_productPrice__unit__2jvkA"
"https://www.traderjoes.com/home/products/pdp/organic-extra-virgin-spanish-olive-oil-080616","https://www.traderjoes.com/content/dam/trjo/products/m20904/80616.png/jcr:content/renditions/cq5dam.web.1280.1280","Oils & Vinegars","https://www.traderjoes.com/home/products/category/oils-vinegars-149","Organic Extra Virgin Spanish Olive Oil","$8.49","/16.9 Fl Oz"
"https://www.traderjoes.com/home/products/pdp/uncured-corned-beef-brisket-064674","https://www.traderjoes.com/content/dam/trjo/products/m20801/64674.png/jcr:content/renditions/cq5dam.web.1280.1280","Beef, Pork & Lamb","https://www.traderjoes.com/home/products/category/beef-pork-lamb-125","Uncured Corned Beef Brisket","$9.99","/1 Lb"
"https://www.traderjoes.com/home/products/pdp/whole-green-lentils-050765","https://www.traderjoes.com/content/dam/trjo/products/m20902/50765.png/jcr:content/renditions/cq5dam.web.1280.1280","Packaged Fish, Meat, Fruit & Veg","https://www.traderjoes.com/home/products/category/packaged-fish-meat-fruit-veg-143","Whole Green Lentils","$1.99","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/ranch-flavored-rolled-corn-tortilla-chips-083292","https://www.traderjoes.com/content/dam/trjo/products/m21001/83292.png/jcr:content/renditions/cq5dam.web.1280.1280","Chips, Crackers & Crunchy Bites","https://www.traderjoes.com/home/products/category/chips-crackers-crunchy-bites-170","Ranch Flavored Rolled Corn Tortilla Chips","$2.99","/9 Oz"
"https://www.traderjoes.com/home/products/pdp/canneles-082816","https://www.traderjoes.com/content/dam/trjo/products/m20604/82816.png/jcr:content/renditions/cq5dam.web.1280.1280","Cool Desserts","https://www.traderjoes.com/home/products/category/cool-desserts-107","Cannelés","$5.49","/6.4 Oz"
"https://www.traderjoes.com/home/products/pdp/danish-oat-cookies-081764","https://www.traderjoes.com/content/dam/trjo/products/m21002/81764.png/jcr:content/renditions/cq5dam.web.1280.1280","Candies & Cookies","https://www.traderjoes.com/home/products/category/candies-cookies-173","Danish Oat Cookies","$3.29","/10.58 Oz"
"https://www.traderjoes.com/home/products/pdp/sliced-double-chocolate-brioche-081821","https://www.traderjoes.com/content/dam/trjo/products/m20105/81821.png/jcr:content/renditions/cq5dam.web.1280.1280","Sweet Stuff","https://www.traderjoes.com/home/products/category/sweet-stuff-26","Sliced Double Chocolate Brioche","$5.49","/17.6 Oz"
"https://www.traderjoes.com/home/products/pdp/beef-bulgogi-075283","https://www.traderjoes.com/content/dam/trjo/products/m20602/75283.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Beef Bulgogi","$11.99","/16 Oz"
"https://www.traderjoes.com/home/products/pdp/toaster-waffles-083113","https://www.traderjoes.com/content/dam/trjo/products/m20602/83113.png/jcr:content/renditions/cq5dam.web.1280.1280","Entrées & Sides","https://www.traderjoes.com/home/products/category/entrees-sides-101","Toaster Waffles","$2.79","/8.46 Oz"
"https://www.traderjoes.com/home/products/pdp/spicy-cheese-crunchies-083669","https://www.traderjoes.com/content/dam/trjo/products/m21001/83669.png/jcr:content/renditions/cq5dam.web.1280.1280","Chips, Crackers & Crunchy Bites","https://www.traderjoes.com/home/products/category/chips-crackers-crunchy-bites-170","Spicy Cheese Crunchies","$2.49","/7 Oz"
