"content-center href","rounded-2xl src","inline","flex","text-xs","text-xs 2","line-clamp-1","styles_tooltip-text__bYBqF","line-clamp-1 2","styles_tooltip-text__bYBqF 2","mr-2","mr-2 href","whitespace-nowrap","pl-1","pl-1 2","pl-1 3","text-xs 3","line-clamp-1 3","inline-flex","mr-2 2","mr-2 href 2","whitespace-nowrap 2","pl-1 4","text-xs 5","mr-2 3","mr-2 href 3","whitespace-nowrap 3","pl-1 5","pl-1 6","text-xs 7"
"https://wellfound.com/company/yourstake","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/7392420-a9b9ef5a1c19ff13c6edb79e73f6488c-medium_jpg.jpg?buster=1600248584","Yourstake.org","Actively Hiring","We show people the impact of their investments, and how to improve","11-50 Employees","Top 5% of responders","Yourstake.org is in the top 5% of companies in terms of response time to applications","Responds within a few days","Based on past data, Yourstake.org usually responds to incoming applications within a few days","Data Engineer","https://wellfound.com/jobs/3935616-data-engineer","Full-time","$80k – $140k • 0.0% – 0.05%","In office • Brooklyn","1 year of exp","7 days ago","","","","","","","","","","","","",""
"https://wellfound.com/company/scaylor","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10601063-25775cb5d456974a9c23f94b211043d0-medium_jpg.jpg?buster=1752026104","Scaylor","Actively Hiring","Due Diligence agent for Private Equity Associates","1-10 Employees","Top 5% of responders","Scaylor is in the top 5% of companies in terms of response time to applications","Responds within a few days","Based on past data, Scaylor usually responds to incoming applications within a few days","Data Engineer","https://wellfound.com/jobs/3541977-data-engineer","Full-time","$130k – $160k • 0.4% – 0.4%","In office • Chicago","2 years of exp","1 week ago","","","","","","","","","","","","",""
"https://wellfound.com/company/shopmonkey","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/2201896-53492408a51d4ad90504dd404d1b3e8a-medium_jpg.jpg?buster=1738642482","Shopmonkey","Actively Hiring","Smart and simple software to run, understand, and grow your repair shop","51-200 Employees","B2B","Expanding market presence","Growth Stage","This company has received a significant amount of investment from top investors","Senior Data Engineer","https://wellfound.com/jobs/3962768-senior-data-engineer","Full-time","$165k – $200k","Remote • California","$165k – $200k","1 day ago","Top Investors","+1","Senior ML Engineer","https://wellfound.com/jobs/3962767-senior-ml-engineer","Full-time","Remote • California","1 day ago","Engineer, SecOps","https://wellfound.com/jobs/3936807-engineer-secops","Full-time","$135k – $175k","Remote • California","6 days ago"
"https://wellfound.com/company/oneimaging","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/10746859-2795562486a40532ee5ab6839bda78d0-medium_jpg.jpg?buster=1762367956","OneImaging","Actively Hiring","Helping employers and employees save up to 80% on health plan and out-of-pocket medical im","11-50 Employees","Responds within three weeks","Based on past data, OneImaging usually responds to incoming applications within three weeks","","","Data Engineer","https://wellfound.com/jobs/3540053-data-engineer","Full-time","$120k – $180k","Miami","$120k – $180k","2 days ago","","","Full Stack Software Engineer (TypeScript/React)","https://wellfound.com/jobs/3540054-full-stack-software-engineer-typescript-react","Full-time","Miami","4 months ago","","","","","",""
"https://wellfound.com/company/coastpay","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8323456-936485f6addc0a1cbfdb8ab5b12af091-medium_jpg.jpg?buster=1624897124","Coast","Actively Hiring","Coast is re-imagining B2B payments, beginning with fleet and fuel","11-50 Employees","Top 10% of responders","Coast is in the top 10% of companies in terms of response time to applications","Responds within two weeks","Based on past data, Coast usually responds to incoming applications within two weeks","Data Engineer","https://wellfound.com/jobs/3533655-data-engineer","Full-time","$130k – $160k","New York City","","1 month ago","B2B","+2","","","","","","","","","","",""
"https://wellfound.com/company/flow-code","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/6824070-4652e202dcaecb2b35823c43289c27a9-medium_jpg.jpg?buster=1668109870","Flowcode","Actively Hiring","The Direct to Consumer Company™","51-200 Employees","B2B","Expanding market presence","Growth Stage","This company has received a significant amount of investment from top investors","Data Engineer","https://wellfound.com/jobs/3876772-data-engineer","Full-time","$150k – $170k","New York","$135k – $155k","3 weeks ago","Top Investors","","Solutions Engineer","https://wellfound.com/jobs/3728301-solutions-engineer","Full-time","New York","2 months ago","","","","","",""
"https://wellfound.com/company/ionq","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/4358711-21319e6bc09262cddf945f132f22bd85-medium_jpg.jpg?buster=1501329308","IonQ","Actively Hiring","Building the world’s best quantum computers to solve the world’s most ecomplex problems","201-500 Employees","B2B","Publicly traded company","Public Stage","This company has received a significant amount of investment from top investors","Staff Data Engineer","https://wellfound.com/jobs/3246389-staff-data-engineer","Full-time","$163k – $213k","Boulder","$175k – $228k","2 weeks ago","Top Investors","+1","Staff Software Engineer – Billing & Metering","https://wellfound.com/jobs/3851763-staff-software-engineer-billing-metering","Full-time","Bothell","3 weeks ago","Senior Staff Software Engineer - Application Engineering","https://wellfound.com/jobs/3827841-senior-staff-software-engineer-application-engineering","Full-time","$193k – $253k","Bothell","1 month ago"
"https://wellfound.com/company/reveel-5","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8332631-7b04767c096ff4d419a83a1caf06a798-medium_jpg.jpg?buster=1620765164","Reveel","Actively Hiring","Work on a leading edge SaaS platform that uses data science to extract insights from shipping data","51-200 Employees","B2B","Startup in initial stages","Early Stage","","Data Engineer","https://wellfound.com/jobs/1838914-data-engineer","Full-time","$115k – $150k • No equity","Remote only • United States","0 years of exp","1 month ago","","","","","","","","","","","","",""
"https://wellfound.com/company/contentful","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/19196-56fc8c51e24e9b48d614adca3fc9af5f-medium_jpg.jpg?buster=1592315497","Contentful","Actively Hiring","Contentful is the leading content platform for digital-first business","501-1000 Employees","Scale Stage","Rapidly increasing operations","Top Investors","This company has received a significant amount of investment from top investors","Security Engineer","https://wellfound.com/jobs/3813403-security-engineer","Full-time","$153k – $207k","New York City","$119k – $161k","1 month ago","Valuation $1B+","+1","Data Engineer","https://wellfound.com/jobs/3798008-data-engineer","Full-time","Denver","1 month ago","Platform Engineer","https://wellfound.com/jobs/3775790-platform-engineer","Full-time","$119k – $161k","Denver","1 month ago"
"https://wellfound.com/company/viaduct-5","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/7360210-82227042a6df3e095fdec813f03c9c6c-medium_jpg.jpg?buster=1575942279","Viaduct","","AI for connected vehicles","11-50 Employees","B2B","Expanding market presence","Growth Stage","","Data Engineer","https://wellfound.com/jobs/820667-data-engineer","Full-time","$125k – $175k","Remote • San Francisco","2 years of exp","3 years ago","","","Senior Machine Learning Engineer","https://wellfound.com/jobs/726039-senior-machine-learning-engineer","Full-time","$175k – $250k","3 years ago","Software Engineer","https://wellfound.com/jobs/820666-software-engineer","Full-time","Remote • San Francisco","8 years of exp","4 years ago"
"https://wellfound.com/company/brex","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/4841125-cdf1adc613b181226b908fe461765625-medium_jpg.jpg?buster=1710912050","Brex","Actively Hiring","The AI-powered spend platform","501-1000 Employees","Responds within three weeks","Based on past data, Brex usually responds to incoming applications within three weeks","B2B","Rapidly increasing operations","Senior Software Engineer, Product Data Platform","https://wellfound.com/jobs/3885353-senior-software-engineer-product-data-platform","Full-time","$192k – $240k","Seattle","$192k – $240k","2 weeks ago","Scale Stage","+3","Senior Software Engineer, Product Data Platform","https://wellfound.com/jobs/3885351-senior-software-engineer-product-data-platform","Full-time","San Francisco","2 weeks ago","Data Engineer","https://wellfound.com/jobs/3727184-data-engineer","Full-time","$121k – $151k","San Francisco","2 months ago"
"https://wellfound.com/company/wynd-labs","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/9294011-995578210f6f046ba4d20697c49a34c8-medium_jpg.jpg?buster=1709661090","Wynd Labs","Actively Hiring","Making AI Data Accessible.  Building a suite of products powered by Grass","11-50 Employees","Early Stage","Startup in initial stages","Growing fast","Showed strong hiring growth in the past month","Network Infrastructure Engineer","https://wellfound.com/jobs/3971888-network-infrastructure-engineer","Full-time","$90k – $160k","Onsite or remote • Washington DC","3 years of exp","today","","","Web Scraping Software Engineer","https://wellfound.com/jobs/3971855-web-scraping-software-engineer","Full-time","$60k – $140k • No equity","today","Data Engineer","https://wellfound.com/jobs/3093914-data-engineer","Full-time","Remote only • Everywhere","3 years of exp","1 year ago"
"https://wellfound.com/company/stockx","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/1339764-b54843bed494fc0979a4b797e7e36139-medium_jpg.jpg?buster=1738898916","StockX","Actively Hiring","The Stock Market Of Things","501-1000 Employees","Responds within three weeks","Based on past data, StockX usually responds to incoming applications within three weeks","B2C","Rapidly increasing operations","Senior Data Engineer","https://wellfound.com/jobs/3826362-senior-data-engineer","Full-time","$140k – $160k","Detroit","$100k – $115k","1 month ago","Scale Stage","+2","Software Engineer - Core Services","https://wellfound.com/jobs/3794005-software-engineer-core-services","Full-time","Detroit","1 month ago","","","","","",""
"https://wellfound.com/company/bikky","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/3598453-5404994baf8a9bcf1fb931d65409620d-medium_jpg.jpg?buster=1713454996","Bikky","Actively Hiring","Customer data platform for restaurants","11-50 Employees","B2B","Startup in initial stages","Early Stage","","Data Engineer","https://wellfound.com/jobs/3839892-data-engineer","Full-time","$150k – $200k","Onsite or remote • New York City","5 years of exp","4 weeks ago","","","","","","","","","","","","",""
"https://wellfound.com/company/mavenclinic","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/435542-3b0d2fbf6ca62c1522142209f7eda810-medium_jpg.jpg?buster=1697808277","Maven Clinic","Actively Hiring","The world’s largest virtual clinic for women and families","501-1000 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Senior Software Engineer, iOS","https://wellfound.com/jobs/3890272-senior-software-engineer-ios","Full-time","$195k – $250k","Remote • New York City","$140k – $170k","2 weeks ago","Top Investors","+4","Senior Integrations Engineer","https://wellfound.com/jobs/3828514-senior-integrations-engineer","Full-time","Remote • New York City","1 month ago","Senior Data Engineer","https://wellfound.com/jobs/3332791-senior-data-engineer","Full-time","$196k – $230k","Remote • New York City","5 months ago"
