"company_link","logo_link","category","hiring","description_about_company","total_employees","type","styles_tooltip-text__bYBqF","stage_of_company","styles_tooltip-text__bYBqF 2","line-clamp-1 3","inline-flex","role_1","role_1_link","role_1_compensation","role_1_location","post_date","role_2","role_2_link","type_of_role","pl-1 3","pl-1 4","text-xs 5","mr-2 3","mr-2 href 3","whitespace-nowrap 3","pl-1 5","pl-1 6","text-xs 7"
"https://wellfound.com/company/homelight","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/28804-00e4e7d1013076846b81724c74c417e0-medium_jpg.jpg?buster=1589639645","HomeLight","Actively Hiring","Our vision is a world where every real estate transaction is simple, certain, and satisfyi","501-1000 Employees","Top 10% of responders","HomeLight is in the top 10% of companies in terms of response time to applications","Responds within two weeks","Based on past data, HomeLight usually responds to incoming applications within two weeks","B2C","+7","AI-Native Software Engineer","https://wellfound.com/jobs/3774401-ai-native-software-engineer","$140k – $160k","In office • San Francisco","6 days ago","Senior Product Manager – D2C","https://wellfound.com/jobs/3390229-senior-product-manager-d2c","Full-time","$150k – $250k","San Francisco","1 month ago","Strategic Finance Manager","https://wellfound.com/jobs/3628641-strategic-finance-manager","Full-time","$175k – $200k","San Francisco","3 months ago"
"https://wellfound.com/company/productai","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/399707-8068998cd00b8ad6a58c042f303fdd1f-medium_jpg.jpg?buster=1773166578","Product.ai","Actively Hiring","Building the Truth Layer of Commerce","51-200 Employees","Top 5% of responders","Product.ai is in the top 5% of companies in terms of response time to applications","Responds within a few days","Based on past data, Product.ai usually responds to incoming applications within a few days","B2C","+3","Software Engineer","https://wellfound.com/jobs/3844057-software-engineer","$280k – $350k • 1.0% – 5.0%","In office • Los Angeles","2 days ago","Staff Software Engineer","https://wellfound.com/jobs/3844053-staff-software-engineer","Full-time","3 years of exp","$350k – $430k • 1.0% – 5.0%","2 days ago","Design Engineer","https://wellfound.com/jobs/3839875-design-engineer","Full-time","In office • Los Angeles","7 years of exp","2 days ago"
"https://wellfound.com/company/pathai","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/1321386-5400b01d0e84df3cca5e9c3a7cc1fe3c-medium_jpg.jpg?buster=1589629652","PathAI","Actively Hiring","Using AI to diagnose disease, faster","51-200 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Top Investors","+3","Software Engineer I, Fullstack","https://wellfound.com/jobs/3991789-software-engineer-i-fullstack","$97k – $148k","Boston","yesterday","Manager/Sr. Manager, Biopharma Marketing","https://wellfound.com/jobs/3976497-manager-sr-manager-biopharma-marketing","Full-time","$126k – $192k","Remote • Boston","5 days ago","Associate Director, MLOps Engineering","https://wellfound.com/jobs/3625645-associate-director-mlops-engineering","Full-time","$182k – $278k","Remote • Boston","4 weeks ago"
"https://wellfound.com/company/checkr","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/395014-2a2164ef6a8cd5954eb970228e62ce15-medium_jpg.jpg?buster=1692326450","Checkr","Actively Hiring","The only background check company using artificial intelligence and machine learning","501-1000 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Top Investors","+5","Engineering Manager, MVR","https://wellfound.com/jobs/3975264-engineering-manager-mvr","$233k – $274k","San Francisco","6 days ago","Staff Software Engineer, Checkr Personal (Ruby/Rails)","https://wellfound.com/jobs/3704117-staff-software-engineer-checkr-personal-ruby-rails","Full-time","$224k – $264k","In office • San Francisco","1 month ago","Engineering Manager, Growth","https://wellfound.com/jobs/3629554-engineering-manager-growth","Full-time","8 years of exp","$197k – $274k","3 months ago"
"https://wellfound.com/company/orchard-robotics","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8738113-17588ae6e6e7b9e346d4ecbcd7229f8e-medium_jpg.jpg?buster=1649648481","Orchard Robotics","Actively Hiring","Securing America's food supply by building the AI farmer that automates our nation's farms","11-50 Employees","Top 10% of responders","Orchard Robotics is in the top 10% of companies in terms of response time to applications","Responds within two weeks","Based on past data, Orchard Robotics usually responds to incoming applications within two weeks","B2B","+2","Senior Robotics Software Engineer (Perception & Localization)","https://wellfound.com/jobs/3988243-senior-robotics-software-engineer-perception-localization","$150k – $250k • 0.1% – 0.25%","In office • San Francisco","3 days ago","Robotics Software Engineer (Perception & Localization)","https://wellfound.com/jobs/3982781-robotics-software-engineer-perception-localization","Full-time","$130k – $190k • 0.1% – 0.25%","San Francisco","4 days ago","Machine Learning Engineer","https://wellfound.com/jobs/3982780-machine-learning-engineer","Full-time","$135k – $210k • 0.1% – 0.25%","San Francisco","4 days ago"
"https://wellfound.com/company/lineleap","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/8359393-30c5b1cade352cac13bbd67a30b91ef2-medium_jpg.jpg?buster=1682462194","LineLeap","Actively Hiring","Fun, Faster","51-200 Employees","B2C","Expanding market presence","B2B","","Growth Stage","+2","Senior or Staff Software Engineer, Product Innovation","https://wellfound.com/jobs/3991158-senior-or-staff-software-engineer-product-innovation","$275k – $350k • 0.1% – 0.5%","In office • New York City","1 day ago","","","","0 years of exp","","","","","","","",""
"https://wellfound.com/company/brex","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/4841125-cdf1adc613b181226b908fe461765625-medium_jpg.jpg?buster=1710912050","Brex","Actively Hiring","The AI-powered spend platform","501-1000 Employees","Responds within three weeks","Based on past data, Brex usually responds to incoming applications within three weeks","B2B","Rapidly increasing operations","Scale Stage","+3","Senior Software Engineer, Product","https://wellfound.com/jobs/3990284-senior-software-engineer-product","$192k – $240k","New York City","2 days ago","Engineering Manager, Onboarding","https://wellfound.com/jobs/3976528-engineering-manager-onboarding","Full-time","$240k – $300k","San Francisco","5 days ago","Engineering Manager, Onboarding","https://wellfound.com/jobs/3976527-engineering-manager-onboarding","Full-time","$240k – $300k","In office • New York City","5 days ago"
"https://wellfound.com/company/yipitdata","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/781135-8cf692a975990d53686b4596d17b25ab-medium_jpg.jpg?buster=1589654408","YipitData","Actively Hiring","A remote-first company with employees across the globe. Inc's Best Workplaces 2020~2022","501-1000 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Top Investors","+4","Sales Development Representative - Investor","https://wellfound.com/jobs/2823572-sales-development-representative-investor","$65k – $75k • No equity","In office • New York","2 days ago","Senior Software Engineer (US)","https://wellfound.com/jobs/3976494-senior-software-engineer-us","Full-time","1 year of exp","$185k – $200k","5 days ago","Insights Associate - Retail","https://wellfound.com/jobs/3839914-insights-associate-retail","Full-time","New York","$100k – $110k","1 month ago"
"https://wellfound.com/company/singlestore","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/40574-92d619b2909304031eb9818e5c8a4921-medium_jpg.jpg?buster=1603865896","SingleStore","Actively Hiring","SingleStore is one platform for all data. The future starts with The Database of  Now™","51-200 Employees","B2B","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Top Investors","+4","Sr. HRBP | Boston, USA","https://wellfound.com/jobs/3976932-sr-hrbp-boston-usa","$100k – $140k","Boston","5 days ago","Support Engineer | West Coast","https://wellfound.com/jobs/3971912-support-engineer-west-coast","Full-time","$105k – $140k","California","7 days ago","Strategic Account Executive | Bay Area","https://wellfound.com/jobs/3967438-strategic-account-executive-bay-area","Full-time","$150k – $175k","San Francisco","1 week ago"
"https://wellfound.com/company/truebill","https://wellfound.com/cdn-cgi/image/width=112,height=112,fit=scale-down,gravity=0.5x0.5,quality=90,format=auto/https://photos.wellfound.com/startups/i/969483-83e6645968883892a646c56f9784759f-medium_jpg.jpg?buster=1667343368","Rocket Money","Actively Hiring","The Money App That Works for You","201-500 Employees","B2C","Rapidly increasing operations","Scale Stage","This company has received a significant amount of investment from top investors","Top Investors","+2","Senior Full Stack Engineer, Engagement","https://wellfound.com/jobs/3994601-senior-full-stack-engineer-engagement","$150k – $185k","Remote • New York City","today","Product Manager - Data Intelligence","https://wellfound.com/jobs/3940401-product-manager-data-intelligence","Full-time","$120k – $160k","Denver","1 week ago","Senior Product Engineer, Compass","https://wellfound.com/jobs/3900765-senior-product-engineer-compass","Full-time","$150k – $185k","New York City","3 weeks ago"
