"product_link","discount_percentage","product_image","product_name_plus_year","new_price","snize-visually-hidden","old_price_before_discount"
"https://winechateau.com/collections/wines/products/elouan-pinot-noir-oregon-2021","34% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Elouan-Pinot-Noir-Oregon-2021_large.webp?v=1746041391","Elouan Pinot Noir, Oregon 2023","$20.99","Old price","$31.97"
"https://winechateau.com/collections/wines/products/zenato-amarone-della-valpolicella-classico-2018","12% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Zenato-Amarone-Della-Valpolicella-Classico-2018_large.jpg?v=1746121652","Zenato Amarone Della Valpolicella Classico 2019","$65.99","Old price","$74.97"
"https://winechateau.com/collections/wines/products/la-marca-prosecco","51% off","https://cdn.shopify.com/s/files/1/1780/9427/files/La-Marca-Prosecco_large.jpg?v=1746121342","La Marca Prosecco","$16.99","Old price","$34.97"
"https://winechateau.com/collections/wines/products/the-prisoner-red-2023","49% off","https://cdn.shopify.com/s/files/1/1780/9427/files/The-Prisoner-Red-Napa-Valley-2022_large.jpg?v=1746121777","The Prisoner Red Napa Valley 2023","$39.99","Old price","$77.97"
"https://winechateau.com/collections/wines/products/louis-m-martini-cabernet-sauvignon-sonoma-county-2021","33% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Louis-M_-Martini-Prati-Cabernet-Sauvignon-Sonoma-County-2021_large.jpg?v=1746045448","Louis M. Martini Prati Cabernet Sauvignon Sonoma County 2021","$19.99","Old price","$29.97"
"https://winechateau.com/collections/wines/products/laurent-perrier-champagne-brut-la-cuvee","20% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Laurent-Perrier-Champagne-Brut-La-Cuvee_large.jpg?v=1746121979","Laurent-Perrier Champagne Brut La Cuvee","$64.95","Old price","$79.97"
"https://winechateau.com/collections/wines/products/renato-ratti-barolo-marcenasco-2021","4% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Renato-Ratti-Marcenasco-Barolo-DOCG-Italy-2019_large.jpg?v=1746121730","Renato Ratti Marcenasco Barolo, DOCG, Italy 2021","$69.95","Old price","$72.97"
"https://winechateau.com/collections/wines/products/catena-malbec-la-consulta-2020","35% off","https://cdn.shopify.com/s/files/1/1780/9427/files/CatenaLaConsulta_large.png?v=1695760897","Catena Appellation La Consulta Malbec 2020","$19.99","Old price","$30.97"
"https://winechateau.com/collections/wines/products/catena-alta-malbec-historic-rows-2021","26% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Catena-Alta-Malbec-Historic-Rows-2021_large.jpg?v=1746046585","Catena Alta Malbec Historic Rows 2021","$44.99","Old price","$60.97"
"https://winechateau.com/collections/wines/products/antigal-malbec-uno-2023","41% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Antigal-UNO-Malbec-2021_large.jpg?v=1746122642","Antigal UNO Malbec 2023","$15.99","Old price","$26.97"
"https://winechateau.com/collections/wines/products/san-marzano-sessantanni-primitivo-di-manduria","14% off","https://cdn.shopify.com/s/files/1/1780/9427/files/San-Marzano-Sessantanni-Primitivo-di-Manduria-2019_large.jpg?v=1746124815","San Marzano - Sessantanni - Primitivo di Manduria 2020","$35.95","Old price","$41.97"
"https://winechateau.com/collections/wines/products/masi-amarone-costasera-2020","7% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Masi-Amarone-Costasera-Della-Valpolicella-Classico-DOCG-2019_large.jpg?v=1746121927","Masi Amarone Costasera Della Valpolicella Classico DOCG 2020","$69.95","Old price","$74.97"
"https://winechateau.com/collections/wines/products/armand-de-brignac-ace-of-spades-champagne-rose","23% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Armand-de-Brignac-Ace-Of-Spades-Champagne-Rose_large.jpg?v=1746121176","Armand de Brignac Ace Of Spades Champagne Rose","$399.99","Old price","$517.99"
"https://winechateau.com/collections/wines/products/allegrini-amarone-della-valpolicella-classico-2020","22% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Allegrini-Amarone-della-Valpolicella-Classico-DOCG-2020_large.webp?v=1746041946","Allegrini Amarone della Valpolicella Classico DOCG 2020","$99.99","Old price","$127.97"
"https://winechateau.com/collections/wines/products/glenville-napa-cabernet-sauvignon-2023","75% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Glenville-Red-Hills-Reserve-Cabernet-Sauvignon-2020_large.jpg?v=1746122269","Glenville Red Hills Reserve Cabernet Sauvignon 2023","$20.99","Old price","$62.97"
"https://winechateau.com/collections/wines/products/j-vineyards-pinot-noir-multi-ava-2020","26% off","https://cdn.shopify.com/s/files/1/1780/9427/products/jvin-pinot_large.png?v=1670955877","J Vineyards Pinot Noir Black Label 2023","$24.99","Old price","$33.97"
"https://winechateau.com/collections/wines/products/tornesi-brunello-di-montalcino-2016","28% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Tornesi-Brunello-di-Montalcino-2016_large.jpg?v=1746046879","Tornesi Brunello di Montalcino 2015","$39.95","Old price","$50.97"
"https://winechateau.com/collections/wines/products/jordan-chardonnay-2023","23% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Jordan-Russian-River-Valley-Chardonnay-2022_large.jpg?v=1746043303","Jordan Russian River Valley Chardonnay 2023","$35.95","Old price","$46.97"
"https://winechateau.com/collections/wines/products/cielo-amarone-della-valpolicella-docg-italy-2019","31% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Cielo-Amarone-della-Valpolicella-DOCG-2019_large.jpg?v=1746122571","Cielo Amarone della Valpolicella DOCG 2019","$39.95","Old price","$57.97"
"https://winechateau.com/collections/wines/products/cantina-di-verona-podere-poiano-valpolicella-ripasso-superiore-2019","33% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Cantina-di-Verona-Podere-Poiano-Valpolicella-Ripasso-Superiore-2019_large.jpg?v=1746121934","Cantina di Verona Podere Poiano Valpolicella Ripasso Superiore 2019","$19.95","Old price","$29.97"
"https://winechateau.com/collections/wines/products/catena-zapata-malbec-argentino-2022","17% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Catena-Zapata-Argentino-Vineyard-Malbec-2022_large.jpg?v=1746047240","Catena Zapata Argentino Vineyard Malbec 2022","$109.99","Old price","$132.97"
"https://winechateau.com/collections/wines/products/cordella-brunello-di-montalcino-2016","18% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Cordella-Brunello-di-Montalcino-2019_large.webp?v=1746065796","Cordella Brunello di Montalcino  2019","$44.95","Old price","$54.97"
"https://winechateau.com/collections/wines/products/d-v-catena-tinto-historico-2018","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/dvcatena_2x_ba788341-6f0b-4bfe-91fd-26ccecc98851_large.png?v=1680707889","D.V. Catena Tinto Historico Red Blend 2022","$19.99","Old price","$23.97"
"https://winechateau.com/collections/wines/products/ruffino-chianti-classico-riserva-ducale-oro-2018","22% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Ruffino-Chianti-Riserva-Ducale-Gold-Label-2018_large.jpg?v=1746121614","Ruffino Chianti Riserva Ducale Gold Label 2018","$44.99","Old price","$57.97"
"https://winechateau.com/collections/wines/products/chateau-desclans-rose-whispering-angel-2024","31% off","https://cdn.shopify.com/s/files/1/1780/9427/files/chateau-d-esclans-whispering-angel-rose-750ml-37124357947634_547x_7a184a23-2a49-4852-b7d2-3b44978ccf26_large.webp?v=1769792060","Chateau d'Esclans Rose Whispering Angel 2024","$23.99","Old price","$34.97"
"https://winechateau.com/collections/wines/products/the-caymus-collection-bundle-trio-wine-gift-set","33% off","https://cdn.shopify.com/s/files/1/1780/9427/files/The-Caymus-Collection-Bundle-Trio-Wine-Gift-Set_large.jpg?v=1746122232","The Caymus Collection Bundle Trio Wine Gift Set","$199.99","Old price","$299.97"
"https://winechateau.com/collections/wines/products/faust-cabernet-sauvignon-2023","34% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Faust-Cabernet-Sauvignon-2021_large.jpg?v=1746123411","Faust Cabernet Sauvignon 2023","$59.99","Old price","$90.97"
"https://winechateau.com/collections/wines/products/robert-mondavi-cabernet-sauvignon-2022","33% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Robert-Mondavi-Winery-Napa-Valley-Cabernet-Sauvignon-2021_large.jpg?v=1746121380","Robert Mondavi Winery Napa Valley Cabernet Sauvignon 2022","$44.99","Old price","$66.97"
"https://winechateau.com/collections/wines/products/zuccardi-malbec-concreto-2021","15% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Zuccardi-Malbec-Concreto-2021_large.jpg?v=1746121500","Zuccardi Malbec Concreto 2021","$33.97","Old price","$39.97"
"https://winechateau.com/collections/wines/products/armand-de-brignac-ace-of-spades-champagne-demi-sec","17% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Armand-de-Brignac-Ace-Of-Spades-Champagne-Demi-Sec_large.jpg?v=1746122273","Armand de Brignac Ace Of Spades Champagne Demi-Sec","$429.95","Old price","$517.99"
"https://winechateau.com/collections/wines/products/tenuta-il-crinale-sprigione-marche-rosso-i-g-t-2012","38% off","https://cdn.shopify.com/s/files/1/1780/9427/products/IlCrinaleSprigione_large.png?v=1676492145","Tenuta Il Crinale Sprigione Marche Rosso I.G.T 2012","$49.95","Old price","$79.97"
"https://winechateau.com/collections/wines/products/lamole-di-lamole-chianti-classico-blue-label-2018","17% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Lamole-di-Lamole-Chianti-Classico-Blue-Label-2021_large.jpg?v=1746122741","Lamole di Lamole Chianti Classico Maggiolo Blue Label 2022","$24.99","Old price","$29.97"
"https://winechateau.com/collections/wines/products/zenato-amarone-della-valpolicella-classico-2020","14% off","https://cdn.shopify.com/s/files/1/1780/9427/products/zenatoamaroneriservasergio_large.png?v=1673456515","Zenato Amarone della Valpolicella Riserva Sergio Zenato 2018","$149.95","Old price","$174.97"
"https://winechateau.com/collections/wines/products/catena-zapata-nicolas-2021","17% off","https://cdn.shopify.com/s/files/1/1780/9427/files/J2896_2021NM_c_large.png?v=1765226108","Catena Zapata Nicolás 2021","$114.95","Old price","$137.97"
"https://winechateau.com/collections/wines/products/alta-vista-malbec-terroir-selection-2019","33% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Alta-Vista-Malbec-Terroir-Selection-2019_large.jpg?v=1746122128","Alta Vista Malbec Terroir Selection 2020","$27.99","Old price","$41.97"
"https://winechateau.com/collections/wines/products/good-fucking-wine-red-blend","57% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Good-Fucking-Wine-Red-Blend-2020_large.jpg?v=1746121165","Good Fucking Wine Red Blend 2020","$14.95","Old price","$34.97"
"https://winechateau.com/collections/wines/products/armand-de-brignac-ace-of-spades-champagne-brut-750ml","31% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Armand-de-Brignac-Ace-Of-Spades-Champagne-Brut-Gold_large.jpg?v=1746041207","Armand de Brignac Ace Of Spades Champagne Brut Gold","$225.99","Old price","$325.99"
